name,target_rva,target_size,source,notes
?bfmeHandle_00791710@@YAXPAVGen_00791710@@PAX@Z,0x00790EA0,690,Code/GameEngineDevice/Source/W3DDevice/GameClient/Shadow/S3ShadowSubmits.cpp,reloc-derived;call-sites=1;identity=generated
?bfmeHandle_00792f60@@YAXPAVGen_00792f60@@PAX@Z,0x00792A20,556,Code/GameEngineDevice/Source/W3DDevice/GameClient/Shadow/S3ShadowSubmits.cpp,reloc-derived;call-sites=1;identity=generated
?bfmeHandle_00792f80@@YAXPAVGen_00792f80@@PAX@Z,0x00792CE0,512,Code/GameEngineDevice/Source/W3DDevice/GameClient/Shadow/S3ShadowSubmits.cpp,reloc-derived;call-sites=1;identity=generated
?bfmeHandle_00793a70@@YAXPAVGen_00793a70@@PAX@Z,0x00793260,553,Code/GameEngineDevice/Source/W3DDevice/GameClient/Shadow/S3ShadowSubmits.cpp,reloc-derived;call-sites=1;identity=generated
?bfmeHandle_00795ec0@@YAXPAVGen_00795ec0@@PAX@Z,0x00794D30,822,Code/GameEngineDevice/Source/W3DDevice/GameClient/Shadow/S3ShadowSubmits.cpp,reloc-derived;call-sites=1;identity=generated
?bfmeHandle_00795fd0@@YAXPAVGen_00795fd0@@PAX@Z,0x00795EE0,181,Code/GameEngineDevice/Source/W3DDevice/GameClient/Shadow/S3ShadowSubmits.cpp,reloc-derived;call-sites=1;identity=generated
?bfmeHandle_007969c0@@YAXPAVGen_007969c0@@PAX@Z,0x00796480,519,Code/GameEngineDevice/Source/W3DDevice/GameClient/Shadow/S3ShadowSubmits.cpp,reloc-derived;call-sites=1;identity=generated
?bfmeHandle_007969e0@@YAXPAVGen_007969e0@@PAX@Z,0x00796710,539,Code/GameEngineDevice/Source/W3DDevice/GameClient/Shadow/S3ShadowSubmits.cpp,reloc-derived;call-sites=1;identity=generated
?drawStaticTextText@@YAXPAVGameWindow@@HH@Z,0x00796BA0,346,Code/GameEngineDevice/Source/W3DDevice/GameClient/GUI/Gadget/W3DStaticTextDraw_Thunk.cpp,reloc-derived;call-sites=2;identity=real
?bfmeHandle_007983b0@@YAXPAVGen_007983b0@@PAX@Z,0x00797600,1824,Code/GameEngineDevice/Source/W3DDevice/GameClient/Shadow/S3ShadowSubmits.cpp,reloc-derived;call-sites=1;identity=generated
?bfmeHandle_007983d0@@YAXPAVGen_007983d0@@PAX@Z,0x00797EF0,969,Code/GameEngineDevice/Source/W3DDevice/GameClient/Shadow/S3ShadowSubmits.cpp,reloc-derived;call-sites=1;identity=generated
?bfmeHandle_007995e0@@YAXPAVGen_007995e0@@PAX@Z,0x00798F30,495,Code/GameEngineDevice/Source/W3DDevice/GameClient/Shadow/S3ShadowSubmits.cpp,reloc-derived;call-sites=1;identity=generated
?bfmeHandle_00799600@@YAXPAVGen_00799600@@PAX@Z,0x007991A0,860,Code/GameEngineDevice/Source/W3DDevice/GameClient/Shadow/S3ShadowSubmits.cpp,reloc-derived;call-sites=1;identity=generated
?bfmeHandle_00799cb0@@YAXPAVGen_00799cb0@@PAX@Z,0x00799900,718,Code/GameEngineDevice/Source/W3DDevice/GameClient/Shadow/S3ShadowSubmits.cpp,reloc-derived;call-sites=1;identity=generated
??1Gen_dtor_0079dbd0@@UAE@XZ,0x0079D1D0,307,Code/gen_small/dtors_009.cpp,reloc-derived;call-sites=1;identity=generated
??1Gen_dtor_007a01e0@@UAE@XZ,0x007A00F0,70,Code/gen_small/dtors_009.cpp,reloc-derived;call-sites=1;identity=generated
??1Gen_dtor_007a2490@@UAE@XZ,0x007A1230,113,Code/gen_small/dtors_009.cpp,reloc-derived;call-sites=1;identity=generated
?enableWaterGrid@WaterRenderObjClass@@QAEX_N@Z,0x007A1410,31,Code/GameEngineDevice/Source/W3DDevice/GameClient/Water/W3DWater.cpp,reloc-derived;call-sites=1;identity=real
?renderMirror@WaterRenderObjClass@@IAEXPAVCameraClass@@@Z,0x007A2B00,1073,Code/GameEngineDevice/Source/W3DDevice/GameClient/Water/W3DWater.cpp,reloc-derived;call-sites=1;identity=real
??1Gen_dtor_007a60f0@@UAE@XZ,0x007A5D10,784,Code/gen_small/dtors_009.cpp,reloc-derived;call-sites=1;identity=generated
??0W3DBufferManager@@QAE@XZ,0x007AD830,326,Code/GameEngineDevice/Source/W3DDevice/GameClient/W3DVolumetricShadowManager_ctor_Thunk.cpp,reloc-derived;call-sites=1;identity=real
??0Rva007B12F0Base@@QAE@XZ,0x007AF200,100,Code/GameEngine/Source/Common/Rva007B12F0Ctor.cpp,reloc-derived;call-sites=3;identity=real
??1Gen_dtor_007af4b0@@UAE@XZ,0x007AF4E0,93,Code/gen_small/dtors_009.cpp,reloc-derived;call-sites=1;identity=generated
?getTexture@BFMEShadowManagerLayout@@QAEPAVW3DShadowTexture@@PBD@Z,0x007AFD10,396,Code/GameEngineDevice/Source/W3DDevice/GameClient/Shadow/W3DProjectedShadow.cpp,reloc-derived;call-sites=1;identity=real
??1Gen_dtor_007b3cb0@@UAE@XZ,0x007AFF00,111,Code/gen_small/dtors_009.cpp,reloc-derived;call-sites=1;identity=generated
??1Gen_dtor_007b3ba0@@UAE@XZ,0x007B0380,91,Code/gen_small/dtors_009.cpp,reloc-derived;call-sites=1;identity=generated
??1Gen_dtor_007b3d40@@UAE@XZ,0x007B0400,88,Code/gen_small/dtors_009.cpp,reloc-derived;call-sites=1;identity=generated
?addShadowCore@BFMEShadowManagerLayout@@QAEPAVW3DProjectedShadow@@PAVW3DShadowTexture@@PAVRenderObjClass@@W4ShadowType@@_NMMHMMPAPAV2@3PAVDrawable@@3@Z,0x007B3E70,460,Code/GameEngineDevice/Source/W3DDevice/GameClient/Shadow/W3DProjectedShadow.cpp,reloc-derived;call-sites=1;identity=real
??1Gen_dtor_007b4fb0@@UAE@XZ,0x007B4E40,251,Code/gen_small/dtors_009.cpp,reloc-derived;call-sites=1;identity=generated
?h00024D2A@GenAlpha@@QAEXXZ,0x007B9760,139,Code/GameEngine/Source/Common/S3GuardedGlobalTriples.cpp,reloc-derived;call-sites=1;identity=real
?ReAcquireResources@Gen_01306F18@@QAE_NXZ,0x007B9810,215,Code/GameEngineDevice/Source/W3DDevice/GameClient/Shadow/W3DShadowManagerReAcquireThunk.cpp,reloc-derived;call-sites=1;identity=generated
?bar@Rva007BAA90G@@QAEXPAX@Z,0x007B9930,63,Code/GameEngine/Source/Common/Rva007BAA90Call.cpp,reloc-derived;call-sites=1;identity=generated
??1Gen_dtor_007bd2f0@@UAE@XZ,0x007BBB20,45,Code/gen_small/dtors_009.cpp,reloc-derived;call-sites=1;identity=generated
??1Gen_dtor_007bbdf0@@UAE@XZ,0x007BBE20,115,Code/gen_small/dtors_009.cpp,reloc-derived;call-sites=1;identity=generated
??1Gen_dtor_007bdad0@@UAE@XZ,0x007BCF50,280,Code/gen_small/dtors_009.cpp,reloc-derived;call-sites=1;identity=generated
?renderShadows@W3DVolumetricShadowManager@@QAEX_N@Z,0x007BFB90,1927,Code/GameEngineDevice/Source/W3DDevice/GameClient/DoShadowsThunk.cpp,reloc-derived;call-sites=1;identity=real
??1Gen_dtor_007c29d0@@UAE@XZ,0x007C1660,191,Code/gen_small/dtors_009.cpp,reloc-derived;call-sites=1;identity=generated
??1Gen_dtor_007cc390@@UAE@XZ,0x007CBCE0,137,Code/gen_small/dtors_009.cpp,reloc-derived;call-sites=1;identity=generated
??1Gen_dtor_007e4a70@@UAE@XZ,0x007E3C20,217,Code/gen_small/dtors_009.cpp,reloc-derived;call-sites=1;identity=generated
??1Gen_dtor_007e4d10@@UAE@XZ,0x007E4A00,86,Code/gen_small/dtors_009.cpp,reloc-derived;call-sites=1;identity=generated
?rva007e8530_bar@@YGXPAX0@Z,0x007E78D0,145,Code/GameEngine/Source/Common/Rva007E8530Call.cpp,reloc-derived;call-sites=1;identity=generated
?getInt@Rva007E8810Message@@QAEHPBDH@Z,0x007E8900,45,Code/GameEngine/Source/GameNetwork/V2FeslAriesRecords.cpp,reloc-derived;call-sites=47;identity=generated
?getInt64@Rva007E8810Message@@QAE_JPBD_J@Z,0x007E8930,70,Code/GameEngine/Source/GameNetwork/V2FeslAriesRecords.cpp,reloc-derived;call-sites=5;identity=generated
?addBool@Rva007E8810Message@@QAEXPBD_N@Z,0x007E8980,51,Code/GameEngine/Source/GameNetwork/V2FeslTxnRequests.cpp,reloc-derived;call-sites=6;identity=generated
?getBool@Rva007E8810Message@@QAE_NPBD_N@Z,0x007E89C0,73,Code/GameEngine/Source/GameNetwork/Y4FeslGameDetailRecords.cpp,reloc-derived;call-sites=2;identity=generated
?getString@Rva007E8810Message@@QAE_NPBDPADH@Z,0x007E8A80,57,Code/GameEngine/Source/GameNetwork/V2FeslAriesRecords.cpp,reloc-derived;call-sites=38;identity=generated
?addInt64@Rva007E8810Message@@QAEXPBD_J@Z,0x007E8E90,93,Code/GameEngine/Source/GameNetwork/V2FeslFeedbackRequest.cpp,reloc-derived;call-sites=11;identity=generated
??1Gen007EB140@@UAE@XZ,0x007EA6F0,625,Code/Libraries/Source/DirtySock/Y2ScalarDeleters.cpp,reloc-derived;call-sites=1;identity=generated
?Gen007EFFC0@@YAPAVGenAlloc@@XZ,0x007EFFC0,28,Code/GameEngine/Source/Common/S3AllocatorOperatorNewDelete.cpp,reloc-derived;call-sites=33;identity=generated
?addTargetIds@Rva007F1F60Feedback@@QAEXPAVRva007E8810Message@@PBURva007F2010TargetId@@H@Z,0x007F2010,107,Code/GameEngine/Source/GameNetwork/V2FeslFeedbackRequest.cpp,reloc-derived;call-sites=1;identity=generated
?addChatLog@Rva007F1F60Feedback@@QAEXPAVRva007E8810Message@@PBURva007F2080ChatLog@@H@Z,0x007F2080,150,Code/GameEngine/Source/GameNetwork/V2FeslFeedbackRequest.cpp,reloc-derived;call-sites=1;identity=generated
??1Gen007F4D00@@UAE@XZ,0x007F4D20,39,Code/Libraries/Source/DirtySock/Y2ScalarDeleters.cpp,reloc-derived;call-sites=1;identity=generated
??_I@YGXPAXIHP6EX0@Z@Z,0x007F6AB0,49,vendor/d3dx9/d3dx9.lib,reloc-derived;call-sites=5;identity=real
??1Gen007F86D0@@UAE@XZ,0x007F8090,363,Code/Libraries/Source/DirtySock/Y2ScalarDeleters.cpp,reloc-derived;call-sites=1;identity=generated
?Gen007F86A0@@YAPAURva007E9EF0Cached@@PAURva007E9EF0Owner@@@Z,0x007F86A0,33,Code/GameEngine/Source/Common/Q3LazyCachedAccessor.cpp,reloc-derived;call-sites=1;identity=generated
?Gen007F89D0@@YAPAURva007E9F30Cached@@PAURva007E9F30Owner@@@Z,0x007F89D0,30,Code/GameEngine/Source/Common/Q3LazyCachedAccessor.cpp,reloc-derived;call-sites=1;identity=generated
??1Gen007FA290@@UAE@XZ,0x007F9C50,171,Code/Libraries/Source/DirtySock/Y2ScalarDeleters.cpp,reloc-derived;call-sites=1;identity=generated
?Rva007FDFF0Connect@@YAPAXPBDH@Z,0x007FDFF0,494,Code/Libraries/Source/DirtySock/Y2ProtoMangleHelpers.cpp,reloc-derived;call-sites=3;identity=real
??1Gen_dtor_00802020@@UAE@XZ,0x00801C40,104,Code/gen_small/dtors_009.cpp,reloc-derived;call-sites=1;identity=generated
?set@Rva00802810Element@@QAEXPBVRva007F4EF0Lobby@@PAVRva007F7980Browser@@@Z,0x00802810,82,Code/GameEngine/Source/GameNetwork/V2FeslBrowserRecords.cpp,reloc-derived;call-sites=1;identity=generated
?update@Rva00802CD0Element@@QAEXPBVRva007F4F90LobbyCounts@@H@Z,0x00802CD0,36,Code/GameEngine/Source/GameNetwork/V2FeslBrowserLobbyCounts.cpp,reloc-derived;call-sites=1;identity=generated
??1Gen008030A0@@UAE@XZ,0x00802F50,104,Code/Libraries/Source/DirtySock/Y2ScalarDeleters.cpp,reloc-derived;call-sites=1;identity=generated
??1Gen00803D10@@UAE@XZ,0x00803890,96,Code/Libraries/Source/DirtySock/Y2ScalarDeleters.cpp,reloc-derived;call-sites=1;identity=generated
?Rva00804920Update@@YAPBDPAURva008042B0Http@@@Z,0x00804920,2668,Code/Libraries/Source/DirtySock/Y2ProtoMangleHelpers.cpp,reloc-derived;call-sites=3;identity=generated
?Rva00806B10@@YAXPAURva00806580Record@@@Z,0x00806B10,2102,Code/Libraries/Source/DirtySock/Y2Rva00806580Module.cpp,reloc-derived;call-sites=3;identity=generated
?accept@Rva00809500Sink@@QAEXPAURva00809500Entry@@@Z,0x00808ED0,127,Code/GameEngine/Source/Common/U2HandleLeaves.cpp,reloc-derived;call-sites=1;identity=generated
?Rva00809010Find@@YGPAURva00809500Sink@@PAURva00809500Entry@@@Z,0x00809010,56,Code/GameEngine/Source/Common/U2HandleLeaves.cpp,reloc-derived;call-sites=1;identity=generated
??1Gen00809750@@UAE@XZ,0x008096F0,91,Code/Libraries/Source/DirtySock/Y2ScalarDeleters.cpp,reloc-derived;call-sites=1;identity=generated
??1Gen0080ACD0@@UAE@XZ,0x0080A830,264,Code/Libraries/Source/DirtySock/Y2ScalarDeleters.cpp,reloc-derived;call-sites=1;identity=generated
_Rva0080ADE0,0x0080ADE0,542,Code/Libraries/Source/DirtySock/Y4CommAlloc.c,reloc-derived;call-sites=3;identity=generated
